epoch,mark,Measured Torque (R),Desired Torque (R),Measured Torque (L),Desired Torque (L),Gait/100 (R),Toe FSR (R),Gait/100 (L),Toe FSR (L),Heel FSBattery Level (Volts),???
1784017719.938446,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.900000,0.000000,0.000000
1784017720.006551,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.690000,0.030000,0.000000
1784017720.020636,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.610000,0.000000,0.000000
1784017720.185120,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.640000,0.000000,0.000000
1784017720.207582,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.070000,0.000000,0.000000
1784017720.313618,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1784017720.319619,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.170000,0.000000,0.000000
1784017720.335144,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000
1784017720.338233,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.250000,0.000000,0.000000
1784017720.342116,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.040000,0.000000,0.000000
1784017720.343660,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.990000,0.000000,0.000000
1784017720.355282,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.970000,0.000000,0.000000
1784017720.366530,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000
1784017720.381513,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.100000,0.000000,0.000000
1784017720.400080,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.100000,0.000000,0.000000
1784017720.569067,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.040000,0.030000,0.000000
1784017720.665409,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.020000,0.000000,0.000000
1784017720.846761,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.930000,0.000000,0.000000
1784017720.847474,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.740000,0.000000,0.000000
1784017720.852432,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.150000,0.030000,0.000000
1784017720.889447,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.250000,0.000000,0.000000
1784017720.897296,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.130000,0.000000,0.250000
1784017721.103708,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000
1784017721.107061,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.490000,0.000000,0.000000
1784017721.189892,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.450000,0.000000,0.000000
1784017721.191436,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.330000,0.000000,0.000000
